날짜,통관번호,국가명,hs_code,수출금액,수출입구분,중량
2025-02-25,TX-77121,일본,8703231010,0,Import,316.34993246957794
2025-02-26,TX-79479,중국,8542311010,675000000,Import,368.6815380124399
2025-02-27,TX-99475,베트남,8542311010,1350000000,Export,220.0944155550145
2025-02-28,TX-29457,일본,8541100000,1350000000,Export,161.9258694936296
2025-03-01,TX-76557,미국,8471300000,0,Import,245.5033300197221
2025-03-02,TX-87189,미국,8471300000,270000000,Import,232.3409390516377
2025-03-03,TX-88953,미국,8541100000,135000000,Import,383.43823740980076
2025-03-04,TX-62995,미국,8541100000,0,Import,420.2556583445119
2025-03-05,TX-50757,중국,8471300000,135000000,Import,356.46774219360907
2025-03-06,TX-19692,미국,8471300000,135000000,Export,230.1003017924112
2025-03-07,TX-55758,일본,8703231010,270000000,Import,87.3010947620094
2025-03-08,TX-82409,독일,8703231010,135000000,Export,246.3511242229502
2025-03-09,TX-81211,미국,8541100000,135000000,Export,490.0553009394219
2025-03-10,TX-75697,중국,8703231010,270000000,Export,195.20887472491265
2025-03-11,TX-47065,중국,8542311010,135000000,Import,
2025-03-12,TX-42606,미국,8703231010,135000000,Export,463.60207187539675
2025-03-13,TX-21534,독일,8703231010,135000000,Export,362.9350053979914
2025-03-14,TX-50397,미국,8542311010,0,Import,
2025-03-15,TX-11016,중국,8541100000,0,Export,147.56409796392103
2025-03-16,TX-99789,베트남,8542311010,0,Export,498.1241187632168
2025-03-17,TX-65591,일본,8703231010,270000000,Import,222.89082412064897
2025-03-18,TX-99812,중국,8541100000,1350000000,Export,461.86445375109787
2025-03-19,TX-33247,미국,8703231010,135000000,Export,76.03875399096833
2025-03-20,TX-34300,일본,8542311010,135000000,Export,98.04022967114797
2025-03-21,TX-84065,미국,8542311010,270000000,Import,126.35595675300449
2025-03-22,TX-92798,미국,8703231010,135000000,Import,224.72077279544249
2025-03-23,TX-19268,베트남,8471300000,0,Import,169.67206623390751
2025-03-24,TX-96807,일본,8471300000,1350000000,Export,166.9774382844182
2025-03-25,TX-22185,일본,8542311010,675000000,Export,64.54217799934271
2025-03-26,TX-73704,베트남,8542311010,135000000,Import,235.0430243924838
2025-03-27,TX-96779,중국,8471300000,0,Export,171.93093913180843
2025-03-28,TX-49099,미국,8471300000,675000000,Export,
2025-03-29,TX-18571,독일,8703231010,1350000000,Import,
2025-03-30,TX-48044,미국,8703231010,675000000,Import,237.48757598231563
2025-03-31,TX-61214,미국,8471300000,0,Export,463.6294483260018
2025-04-01,TX-71228,중국,8703231010,675000000,Export,
2025-04-02,TX-58984,미국,8703231010,270000000,Export,298.2145426448315
2025-04-03,TX-50774,베트남,8541100000,675000000,Import,235.06480246341607
2025-04-04,TX-12568,베트남,8703231010,135000000,Import,266.1665368398596
2025-04-05,TX-72592,일본,8542311010,135000000,Import,219.53253647207333
2025-04-06,TX-77563,독일,8703231010,270000000,Import,226.8452520404866
2025-04-07,TX-12695,미국,8703231010,0,Export,306.08666112458644
2025-04-08,TX-58190,미국,8471300000,135000000,Import,
2025-04-09,TX-15258,중국,8542311010,1350000000,Import,
2025-04-10,TX-97538,베트남,8703231010,135000000,Import,
2025-04-15,TX-99998,미국,8542311010,13500000000,Export,120.5
2025-04-16,TX-99999,베트남,8542311010,27000000000,Export,240.0
